key,en,es,da,nl,fr,de,zh,sv,ru,ja,ko
MAIL_ITEM_ID_TOOLTIP,"Don't include quotes. Include the namespace, such as minecraft or customnpcs.

I.E customnpcs:scripter

If there is an entry in NBT Data, this entry is ignored","No incluyas comillas. Incluya el espacio de nombres, como minecraft o customnpcs.

Es decir, piezas personalizadas: scripter

Si hay una entrada en NBT Data, esta entrada se ignora","Medtag ikke citater. Inkluder navneområdet, såsom minecraft eller customnpcs.

I.E customnpcs:scripter

Hvis der er en post i NBT Data, ignoreres denne post","Voeg geen citaten toe. Voeg de naamruimte toe, zoals minecraft of customnpcs.

Dwz customnpcs:scripter

Als er een invoer in NBT Data aanwezig is, wordt deze invoer genegeerd","N'incluez pas de guillemets. Incluez l'espace de noms, tel que Minecraft ou Customnpcs.

C'est-à-dire les pièces personnalisées : scripteur

S'il y a une entrée dans NBT Data, cette entrée est ignorée","Fügen Sie keine Anführungszeichen ein. Geben Sie den Namespace an, z. B. „minecraft“ oder „customnpcs“.

D.h. customnpcs:scripter

Wenn in NBT Data ein Eintrag vorhanden ist, wird dieser Eintrag ignoriert","不要包含引号。包括命名空间，例如“minecraft”或“customnpcs”。

即自定义NPC：脚本编写者

如果NBT Data中有条目，则忽略该条目","Inkludera inte citat. Inkludera namnutrymmet, till exempel minecraft eller customnpcs.

I.E customnpcs:scripter

Om det finns en post i NBT Data ignoreras denna post","Не включайте кавычки. Укажите пространство имен, например minecraft или customnpcs.

I.E customnpcs:скриптер

Если в данных NBT есть запись, эта запись игнорируется.","引用符は含めないでください。 Minecraft や Customnpcs などの名前空間を含めます。

I.E カスタム npcs:スクリプター

NBT データにエントリがある場合、このエントリは無視されます","따옴표를 포함하지 마세요. Minecraft 또는 customnpcs와 같은 네임스페이스를 포함합니다.

I.E customnpcs:스크립터

NBT 데이터에 항목이 있는 경우 이 항목은 무시됩니다."
MAIL_ITEM_NBT_TOOLTIP,"Copy and paste the item as NBT here. Include the item's id, as having an entry here will ignore the ID set above.

If copying and pasting from mail data, do NOT include the slot tag.","Copie y pegue el artículo como NBT aquí. Incluya la identificación del artículo, ya que al tener una entrada aquí se ignorará la identificación establecida anteriormente.

Si copia y pega datos de correo, NO incluya la etiqueta de la ranura.","Kopiér og indsæt varen som NBT her. Inkluder varens id, da en indtastning her vil ignorere ID-sættet ovenfor.

Hvis du kopierer og indsætter fra e-mail-data, skal du IKKE inkludere pladsmærket.","Kopieer en plak het item hier als NBT. Voeg de ID van het item toe, omdat als u hier iets invoert, de hierboven ingestelde ID wordt genegeerd.

Als u kopieert en plakt vanuit e-mailgegevens, neem dan NIET de slot-tag op.","Copiez et collez l'élément en tant que NBT ici. Incluez l'identifiant de l'élément, car avoir une entrée ici ignorera l'ID défini ci-dessus.

Si vous copiez et collez à partir de données de courrier, n'incluez PAS la balise slot.","Kopieren Sie das Element und fügen Sie es hier als NBT ein. Geben Sie die ID des Artikels an, da bei einem Eintrag hier die oben festgelegte ID ignoriert wird.

Beim Kopieren und Einfügen aus E-Mail-Daten darf das Slot-Tag NICHT mit einbezogen werden.","将项目复制为 NBT 并粘贴到此处。包含项目的 ID，因为此处的条目将忽略上面设置的 ID。

如果从邮件数据复制和粘贴，请勿包含槽标签。","Kopiera och klistra in objektet som NBT här. Inkludera objektets id, eftersom en post här kommer att ignorera ID-uppsättningen ovan.

Om du kopierar och klistrar in från e-postdata, inkludera INTE platstaggen.","Скопируйте и вставьте сюда элемент как NBT. Включите идентификатор элемента, так как запись здесь будет игнорировать идентификатор, установленный выше.

При копировании и вставке из почтовых данных НЕ включайте тег слота.","ここに項目をコピーして NBT として貼り付けます。ここにエントリがあると、上で設定した ID が無視されるため、アイテムの ID を含めます。

メールデータからコピー＆ペーストする場合は、slotタグを含めないでください。","여기에 항목을 NBT로 복사하여 붙여넣으세요. 여기에 항목을 입력하면 위에 설정된 ID가 무시되므로 항목의 ID를 포함하세요.

메일 데이터에서 복사하여 붙여넣는 경우 슬롯 태그를 포함하지 마세요."
COLOR_ORGANIZER_TOOLTIP,Lock to prevent color organizer from being altered in any way.,Bloquee para evitar que el organizador de colores se modifique de alguna manera.,Lås for at forhindre farveorganisering i at blive ændret på nogen måde.,Vergrendel om te voorkomen dat de kleurorganizer op enigerlei wijze wordt gewijzigd.,Verrouillez pour éviter que l'organisateur de couleurs ne soit modifié de quelque manière que ce soit.,"Sperren, um zu verhindern, dass der Farb-Organizer in irgendeiner Weise verändert wird.",锁定以防止颜色管理器被以任何方式更改。,Lås för att förhindra att färgorganisatören ändras på något sätt.,"Заблокируйте, чтобы предотвратить любое изменение органайзера цвета.",カラー オーガナイザーがいかなる方法でも変更されないようにロックします。,색상 정리가 어떤 식으로든 변경되지 않도록 잠급니다.
EXPORT_TYPE_TOOLTIP,"1.7.10-1.16.5 & Goodbird Ports: These versions only allow 1 command and 2 faction changes on a
dialog, and response options do not have ""Response Text"" nor options for multiple commands.
CustomNPCs+ settings are automatically exported if enabled.

Official 1.18.2: This version allows many command and faction changes on a dialog, and for many
commands and ""Response Text"" on response options","1.7.10-1.16.5 y Goodbird Ports: estas versiones solo permiten 1 comando y 2 cambios de facción en un
El cuadro de diálogo y las opciones de respuesta no tienen ""Texto de respuesta"" ni opciones para múltiples comandos.
La configuración de CustomNPCs+ se exporta automáticamente si está habilitada.

Oficial 1.18.2: esta versión permite muchos cambios de comando y facción en un diálogo, y para muchos
Comandos y ""Texto de respuesta"" en las opciones de respuesta.","1.7.10-1.16.5 & Goodbird Ports: Disse versioner tillader kun 1 kommando og 2 fraktionsændringer på en
dialog, og svarmuligheder har ikke ""Svartekst"" eller muligheder for flere kommandoer.
Indstillinger for CustomNPCs+ eksporteres automatisk, hvis de er aktiveret.

Officiel 1.18.2: Denne version tillader mange kommando- og fraktionsændringer på en dialogboks, og for mange
kommandoer og ""Svartekst"" på svarmuligheder","1.7.10-1.16.5 & Goodbird Ports: deze versies staan ​​slechts 1 commando- en 2 factiewijzigingen toe op een
dialoogvenster en antwoordopties hebben geen ""antwoordtekst"" of opties voor meerdere opdrachten.
Aangepaste NPC's+ instellingen worden automatisch geëxporteerd indien ingeschakeld.

Officieel 1.18.2: Deze versie staat veel commando- en factiewijzigingen toe in een dialoog, en voor velen
opdrachten en ""Response Text"" bij antwoordopties","Ports 1.7.10-1.16.5 et Goodbird : ces versions n'autorisent qu'un seul changement de commande et deux changements de faction sur un
la boîte de dialogue et les options de réponse n'ont pas de « Texte de réponse » ni d'options pour plusieurs commandes.
Les paramètres CustomNPCs+ sont automatiquement exportés s’ils sont activés.

Officiel 1.18.2 : Cette version permet de nombreux changements de commande et de faction dans un dialogue, et pour de nombreux
commandes et ""Texte de réponse"" sur les options de réponse","1.7.10-1.16.5 & Goodbird-Ports: Diese Versionen erlauben nur 1 Befehls- und 2 Fraktionswechsel auf einem
Dialog und Antwortoptionen verfügen weder über „Antworttext“ noch über Optionen für mehrere Befehle.
CustomNPCs+-Einstellungen werden automatisch exportiert, wenn sie aktiviert sind.

Offiziell 1.18.2: Diese Version ermöglicht viele Befehls- und Fraktionsänderungen in einem Dialog, und zwar für viele
Befehle und „Antworttext“ für Antwortoptionen","1.7.10-1.16.5 & Goodbird Ports：这些版本仅允许在一台计算机上进行 1 个命令和 2 个派系更改
对话框，响应选项没有“响应文本”，也没有多个命令的选项。
如果启用，CustomNPCs+ 设置会自动导出。

官方 1.18.2：此版本允许在对话框中进行许多命令和派系更改，并且对于许多
命令和响应选项上的“响应文本”","1.7.10-1.16.5 & Goodbird-portar: Dessa versioner tillåter endast 1 kommando och 2 fraktionsändringar på en
dialog och svarsalternativ har inte ""Svarstext"" eller alternativ för flera kommandon.
Inställningar för CustomNPCs+ exporteras automatiskt om de är aktiverade.

Officiell 1.18.2: Denna version tillåter många kommando- och fraktionsändringar i en dialogruta, och för många
kommandon och ""Svarstext"" på svarsalternativ","Порты 1.7.10-1.16.5 и Goodbird: эти версии допускают смену только 1 команды и 2 фракций за один раз.
диалоговое окно и параметры ответа не имеют ни «Текста ответа», ни параметров для нескольких команд.
Настройки CustomNPC+ автоматически экспортируются, если они включены.

Официальная версия 1.18.2: эта версия позволяет менять множество команд и фракций в диалоговом окне, и для многих
команды и «Текст ответа» в вариантах ответа","1.7.10-1.16.5 および Goodbird ポート: これらのバージョンでは、1 つのコマンドで 1 つのコマンドと 2 つの派閥の変更のみが許可されます。
ダイアログと応答オプションには、「応答テキスト」も複数のコマンドのオプションもありません。
CustomNPCs+ 設定が有効になっている場合、自動的にエクスポートされます。

公式 1.18.2: このバージョンでは、ダイアログ上で多くのコマンドと派閥の変更が可能です。
コマンドと応答オプションの「応答テキスト」","1.7.10-1.16.5 및 Goodbird 포트: 이 버전에서는 한 명령에서 1개의 명령과 2개의 팩션 변경만 허용됩니다.
대화 상자 및 응답 옵션에는 ""응답 텍스트""나 여러 명령에 대한 옵션이 없습니다.
활성화된 경우 CustomNPCs+ 설정이 자동으로 내보내집니다.

공식 1.18.2: 이 버전에서는 대화 상자에서 많은 명령 및 진영 변경이 가능하며,
명령 및 응답 옵션의 ""응답 텍스트"""
EDS_HIDE_CONNECTION_TOOLTIP,The maximum distance a response node can be from a dialog node before the connection line is hidden,La distancia máxima que puede estar un nodo de respuesta desde un nodo de diálogo antes de que se oculte la línea de conexión,"Den maksimale afstand, en svarknude kan være fra en dialogknude, før forbindelseslinjen er skjult",De maximale afstand die een antwoordknooppunt tot een dialoogknooppunt mag hebben voordat de verbindingslijn verborgen wordt,La distance maximale entre un nœud de réponse et un nœud de dialogue avant que la ligne de connexion ne soit masquée,"Der maximale Abstand, den ein Antwortknoten von einem Dialogknoten haben kann, bevor die Verbindungslinie ausgeblendet wird",连接线隐藏之前响应节点与对话节点的最大距离,Det maximala avståndet som en svarsnod kan vara från en dialognod innan anslutningslinjen döljs,"Максимальное расстояние, на котором узел ответа может находиться от узла диалога, прежде чем линия соединения будет скрыта.",接続線が非表示になるまでの、応答ノードとダイアログ ノードとの最大距離,연결선이 숨겨지기 전에 응답 노드와 대화 노드 사이의 최대 거리
EDS_SNAPPING_TOOLTIP,Enable grid snapping in the editor,Habilitar el ajuste de cuadrícula en el editor,Aktiver grid snapping i editoren,Schakel rasteruitlijnen in de editor in,Activer l'accrochage à la grille dans l'éditeur,Aktivieren Sie die Rasterausrichtung im Editor,在编辑器中启用网格捕捉,Aktivera grid snapping i editorn,Включить привязку к сетке в редакторе,エディターでグリッド スナップを有効にする,편집기에서 그리드 스냅 활성화
EDS_HOLD_SHIFT_TOOLTIP,"By default, moving dialog nodes will not cause it's connected response nodes to move with it, unless you're holding shift.

Inverting it will mean that dialog nodes WILL move response nodes, unless holding shift","De forma predeterminada, mover los nodos de diálogo no hará que los nodos de respuesta conectados se muevan con él, a menos que mantenga presionada la tecla Mayús.

Invertirlo significará que los nodos de diálogo moverán los nodos de respuesta, a menos que se mantenga presionada la tecla Mayús.","Som standard vil flytning af dialogknudepunkter ikke få dens tilsluttede svarknuder til at flytte med sig, medmindre du holder shift nede.

At invertere det vil betyde, at dialogknudepunkter VIL flytte svarknuder, medmindre man holder shift","Standaard zal het verplaatsen van dialoogknooppunten er niet voor zorgen dat de verbonden antwoordknooppunten meebewegen, tenzij u shift ingedrukt houdt.

Als u dit omkeert, betekent dit dat dialoogknooppunten de responsknooppunten ZULLEN verplaatsen, tenzij u Shift ingedrukt houdt","Par défaut, le déplacement des nœuds de dialogue n'entraînera pas le déplacement des nœuds de réponse connectés avec lui, à moins que vous ne mainteniez la touche Shift enfoncée.

L'inverser signifiera que les nœuds de dialogue déplaceront les nœuds de réponse, à moins de maintenir Shift","Standardmäßig führt das Verschieben von Dialogknoten nicht dazu, dass die verbundenen Antwortknoten mit verschoben werden, es sei denn, Sie halten die Umschalttaste gedrückt.

Das Umkehren bedeutet, dass Dialogknoten Antwortknoten verschieben, es sei denn, Sie halten die Umschalttaste gedrückt","默认情况下，移动对话节点不会导致其连接的响应节点随之移动，除非您按住 Shift 键。

反转它意味着对话节点将移动响应节点，除非按住shift","Som standard kommer inte att flytta dialognoder att dess anslutna svarsnoder flyttas med den, såvida du inte håller shift.

Att invertera det kommer att innebära att dialognoder KOMMER att flytta svarsnoder, om du inte håller ned shift","По умолчанию перемещение узлов диалога не приводит к перемещению связанных с ним узлов ответа, если только вы не удерживаете клавишу Shift.

Инвертирование будет означать, что узлы диалога БУДУТ перемещать узлы ответа, если не удерживать клавишу Shift.","デフォルトでは、Shift キーを押している場合を除き、ダイアログ ノードを移動しても、接続されている応答ノードも一緒に移動しません。

これを反転すると、Shift キーを押したままにしない限り、ダイアログ ノードが応答ノードを移動することになります。","기본적으로 Shift 키를 누르지 않는 한 대화 노드를 이동해도 연결된 응답 노드가 함께 이동하지 않습니다.

이를 반전시키는 것은 Shift 키를 누르지 않는 한 대화 노드가 응답 노드를 이동한다는 것을 의미합니다."
EDS_MORE_SIX_TOOLTIP,"The in-game editor only allows you to add six responses to a dialog, but adding more responses directly to the JSON allows for more response options.","El editor del juego solo te permite agregar seis respuestas a un diálogo, pero agregar más respuestas directamente al JSON permite más opciones de respuesta.","In-game editoren giver dig kun mulighed for at tilføje seks svar til en dialogboks, men tilføjelse af flere svar direkte til JSON giver dig mulighed for flere svarmuligheder.","Met de in-game editor kun je slechts zes reacties aan een dialoogvenster toevoegen, maar door meer reacties rechtstreeks aan de JSON toe te voegen, zijn er meer reactieopties mogelijk.","L'éditeur du jeu vous permet uniquement d'ajouter six réponses à une boîte de dialogue, mais l'ajout de plus de réponses directement au JSON permet plus d'options de réponse.","Mit dem In-Game-Editor können Sie nur sechs Antworten zu einem Dialog hinzufügen, aber das Hinzufügen weiterer Antworten direkt zum JSON ermöglicht mehr Antwortoptionen.",游戏内编辑器仅允许您向对话框添加六个响应，但直接向 JSON 添加更多响应可提供更多响应选项。,"Redaktören i spelet låter dig bara lägga till sex svar i en dialogruta, men att lägga till fler svar direkt till JSON möjliggör fler svarsalternativ.","Внутриигровой редактор позволяет добавлять в диалог только шесть ответов, но добавление большего количества ответов непосредственно в JSON позволяет получить больше вариантов ответов.",ゲーム内エディターではダイアログに 6 つの応答しか追加できませんが、さらに多くの応答を JSON に直接追加すると、より多くの応答オプションが可能になります。,게임 내 편집기에서는 대화 상자에 6개의 응답만 추가할 수 있지만 JSON에 직접 더 많은 응답을 추가하면 더 많은 응답 옵션을 사용할 수 있습니다.
EDS_AUTOSAVE_FREQ_TOOLTIP,Amount of minutes between auto-saves,Cantidad de minutos entre guardados automáticos,Antal minutter mellem automatisk lagring,Aantal minuten tussen automatisch opslaan,Nombre de minutes entre les sauvegardes automatiques,Anzahl der Minuten zwischen automatischen Speicherungen,自动保存之间的分钟数,Antal minuter mellan automatiska sparningar,Количество минут между автосохранениями,自動保存間の時間 (分),자동 저장 간격(분)
EDS_MAX_AUTOSAVE_FILES_TOOLTIP,How many autosave files can be in the auto save folder,¿Cuántos archivos de guardado automático puede haber en la carpeta de guardado automático?,Hvor mange autogem-filer kan der være i auto-gem-mappen,Hoeveel automatisch opgeslagen bestanden kunnen er in de map voor automatisch opslaan staan,Combien de fichiers de sauvegarde automatique peuvent contenir le dossier de sauvegarde automatique,Wie viele Autosave-Dateien können sich im Auto-Save-Ordner befinden?,自动保存文件夹中可以有多少个自动保存文件,Hur många autospara-filer kan finnas i autospara-mappen,Сколько файлов автосохранения может находиться в папке автосохранения,自動保存フォルダーに保存できる自動保存ファイルの数,자동 저장 폴더에 자동 저장 파일 수는 몇 개입니까?
EDS_DEFAULT_DIRECTORY_TOOLTIP,"Change the default folder that's opened when
you click ""Open Environment""","Cambiar la carpeta predeterminada que se abre cuando
haces clic en ""Abrir entorno""","Skift standardmappe, der åbnes hvornår
du klikker på ""Åbent miljø""","Wijzig de standaardmap die wordt geopend wanneer
u klikt op ""Open omgeving""","Modifiez le dossier par défaut ouvert lorsque
vous cliquez sur ""Environnement ouvert""","Ändern Sie den Standardordner, der wann geöffnet wird
Sie klicken auf „Umgebung öffnen“","更改打开的默认文件夹
您单击“打开环境”","Ändra standardmappen som öppnas när
du klickar på ""Öppen miljö""","Измените папку по умолчанию, которая открывается при
вы нажимаете «Открыть среду»","ときに開くデフォルトのフォルダーを変更する
「環境を開く」をクリックすると","열릴 때 열리는 기본 폴더 변경
""환경 열기""를 클릭하세요"
FILE_CANCEL,Cancel,Cancelar,Ophæve,Annuleren,Annuler,Stornieren,取消,Avboka,Отмена,キャンセル,취소
FILE_SELECT_FOLDER,Select Current Folder,Seleccionar carpeta actual,Vælg Aktuel mappe,Selecteer Huidige map,Sélectionnez le dossier actuel,Wählen Sie Aktueller Ordner,选择当前文件夹,Välj Aktuell mapp,Выбрать текущую папку,現在のフォルダーを選択,현재 폴더 선택
FILE_TITLE,Open A Directory,Abrir un directorio,Åbn en mappe,Open een map,Ouvrir un répertoire,Öffnen Sie ein Verzeichnis,打开目录,Öppna en katalog,Открыть каталог,ディレクトリを開く,디렉토리 열기
FILE_INVALID,Invalid Folder!,¡Carpeta no válida!,Ugyldig mappe!,Ongeldige map!,Dossier invalide !,Ungültiger Ordner!,无效文件夹！,Ogiltig mapp!,Неверная папка!,無効なフォルダーです!,잘못된 폴더입니다!
LANGUAGE,Language,Idioma,Sprog,Taal,Langue,Sprache,语言,Språk,Язык,言語,언어
CATEGORY_RENAME,Rename,Rebautizar,Omdøb,Hernoemen,Rebaptiser,Umbenennen,重命名,Döpa om,Переименовать,名前の変更,이름 바꾸기
CATEGORY_DELETE,Delete,Borrar,Slet,Verwijderen,Supprimer,Löschen,删除,Radera,Удалить,消去,삭제
CATEGORY_REIMPORT,Reimport Category,Categoría de reimportación,Genimporter kategori,Categorie opnieuw importeren,Catégorie de réimportation,Kategorie erneut importieren,重新导入类别,Återimportera kategori,Категория реимпорта,逆輸入カテゴリー,카테고리 다시 가져오기
CATEGORY_DUPLICATE,Duplicate,Duplicado,Duplikere,Duplicaat,Double,Duplikat,复制,Duplicera,Дублировать,重複,복제하다
CATEGORY_OPEN_IN_FILE,Open in File Manager,Abrir en el Administrador de archivos,Åbn i filhåndtering,Openen in Bestandsbeheer,Ouvrir dans le gestionnaire de fichiers,Im Dateimanager öffnen,在文件管理器中打开,Öppna i filhanteraren,Открыть в диспетчере файлов,ファイルマネージャーで開く,파일 관리자에서 열기
SELECT_DIALOG,Select Dialog,Seleccionar cuadro de diálogo,Vælg Dialog,Selecteer Dialoogvenster,Boîte de dialogue Sélectionner,Wählen Sie Dialog,选择对话框,Välj Dialog,Выберите диалог,選択ダイアログ,선택 대화상자
COMMAND,Command,Dominio,Kommando,Commando,Commande,Befehl,命令,Kommando,Команда,指示,명령
TEXT_LIMIT_WARNING,Text Limit Warning!,¡Advertencia de límite de texto!,Tekstgrænse Advarsel!,Tekstlimiet Waarschuwing!,Attention à la limite de texte !,Warnung zur Textbeschränkung!,文字限制警告！,Textbegränsning Varning!,Предупреждение об ограничении текста!,テキスト制限の警告!,문자 제한 경고!
TEXT_LIMIT_WARNING_TOOLTIP,This page *might* go off screen. Pages can only have 114 pixels and 14 lines maximum.,Esta página *podría* salirse de la pantalla. Las páginas sólo pueden tener 114 píxeles y 14 líneas como máximo.,Denne side *kan* forsvinde fra skærmen. Sider kan kun have 114 pixels og maksimalt 14 linjer.,Deze pagina *kan* van het scherm verdwijnen. Pagina's mogen maximaal 114 pixels en 14 regels bevatten.,Cette page *pourrait* disparaître de l'écran. Les pages ne peuvent avoir que 114 pixels et 14 lignes maximum.,Diese Seite *könnte* vom Bildschirm verschwinden. Seiten dürfen maximal 114 Pixel und 14 Zeilen haben.,此页面*可能*会离开屏幕。页面最多只能有 114 个像素和 14 行。,Den här sidan *kan* försvinna från skärmen. Sidor kan bara ha 114 pixlar och max 14 rader.,Эта страница *может* исчезнуть с экрана. Страницы могут иметь максимум 114 пикселей и 14 строк.,このページは画面から消える*可能性があります*。ページには最大 114 ピクセル、14 行しか含めることができません。,이 페이지는 *화면에서 사라질 수도 있습니다*. 페이지는 최대 114픽셀과 14줄만 포함할 수 있습니다.
SAVING,Category %s saved...,Categoría %s guardada...,Kategori %s gemt...,Categorie %s opgeslagen...,Catégorie %s enregistrée...,Kategorie %s gespeichert...,类别 %s 已保存...,Kategori %s har sparats...,Категория %s сохранена...,カテゴリ %s を保存しました...,카테고리 %s이(가) 저장되었습니다...
EXPORTING,Category %s succesfully exported...,Categoría %s exportada exitosamente...,Kategori %s blev eksporteret...,Categorie %s succesvol geëxporteerd...,La catégorie %s a été exportée avec succès...,Kategorie %s erfolgreich exportiert...,类别 %s 已成功导出...,Kategori %s har exporterats...,Категория %s успешно экспортирована...,カテゴリ %s は正常にエクスポートされました...,카테고리 %s을(를) 성공적으로 내보냈습니다...
EXPORT_FAILED,Category %s Failed To Export...,La categoría %s no pudo exportar...,Kategori %s kunne ikke eksporteres...,Categorie %s Kan niet exporteren...,La catégorie %s n'a pas pu être exportée...,Kategorie %s konnte nicht exportiert werden...,类别 %s 导出失败...,Det gick inte att exportera kategori %s...,Не удалось экспортировать категорию %s...,カテゴリ %s のエクスポートに失敗しました...,카테고리 %s을(를) 내보내지 못했습니다...
SAVE_FAILED,YDEC Failed To Save,YDEC no pudo guardar,YDEC kunne ikke gemme,YDEC kan niet opslaan,YDEC n'a pas réussi à enregistrer,YDEC konnte nicht gespeichert werden,YDEC 保存失败,Det gick inte att spara YDEC,YDEC не удалось сохранить,YDEC の保存に失敗しました,YDEC 저장 실패
AV_MODE,Selecting Dialog For Availability,Seleccionar cuadro de diálogo para disponibilidad,Valg af dialog for tilgængelighed,Dialoogvenster selecteren voor beschikbaarheid,Sélection de la boîte de dialogue pour la disponibilité,Auswahldialog für Verfügbarkeit,选择可用性对话框,Välj dialog för tillgänglighet,Диалоговое окно выбора доступности,可用性の選択ダイアログ,가용성에 대한 대화 상자 선택
UNSAVED,There Are Unsaved Changes!,¡Hay cambios no guardados!,Der er ikke-gemte ændringer!,Er zijn niet-opgeslagen wijzigingen!,Il y a des modifications non enregistrées !,Es gibt nicht gespeicherte Änderungen!,有未保存的更改！,Det finns osparade ändringar!,Есть несохраненные изменения!,未保存の変更があります!,저장되지 않은 변경사항이 있습니다!
SAVE_AND_CLOSE,Save and Close,Guardar y cerrar,Gem og luk,Opslaan en sluiten,Enregistrer et fermer,Speichern und schließen,保存并关闭,Spara och stäng,Сохранить и закрыть,保存して閉じる,저장하고 닫기
CLOSE_NO_SAVE,Close Without Saving,Cerrar sin guardar,Luk uden at gemme,Sluiten zonder op te slaan,Fermer sans enregistrer,Schließen ohne zu speichern,关闭而不保存,Stäng utan att spara,Закрыть без сохранения,保存せずに閉じる,저장하지 않고 닫기
NAME_CATEGORY,Name Category,Nombre Categoría,Navnekategori,Naam Categorie,Catégorie de nom,Namenskategorie,名称 类别,Namnkategori,Название Категория,名前 カテゴリー,이름 카테고리
CHOOSE_INIT_DIALOG,Choose A Starting Dialog For The Tree,Elija un cuadro de diálogo inicial para el árbol,Vælg en startdialog for træet,Kies een startdialoog voor de boom,Choisissez une boîte de dialogue de démarrage pour l'arborescence,Wählen Sie einen Startdialog für den Baum,为树选择一个启动对话框,Välj en startdialog för trädet,Выберите начальный диалог для дерева,ツリーの開始ダイアログを選択してください,트리의 시작 대화 상자를 선택하세요
DELETE_CATEGORY_CONFIRM,Are you sure you want to delete %s? All dialogs will be permanently deleted,¿Estás seguro de que deseas eliminar %s? Todos los cuadros de diálogo se eliminarán permanentemente.,"Er du sikker på, at du vil slette %s? Alle dialogbokse slettes permanent",Weet u zeker dat u %s wilt verwijderen? Alle dialoogvensters worden permanent verwijderd,Etes-vous sûr de vouloir supprimer %s ? Toutes les boîtes de dialogue seront définitivement supprimées,"Sind Sie sicher, dass Sie %s löschen möchten? Alle Dialoge werden dauerhaft gelöscht",您确定要删除 %s 吗？所有对话框将被永久删除,Är du säker på att du vill ta bort %s? Alla dialogrutor kommer att raderas permanent,"Вы уверены, что хотите удалить %s? Все диалоги будут удалены без возможности восстановления.",%s を削除してもよろしいですか?すべてのダイアログは完全に削除されます,정말로 %s을(를) 삭제하시겠습니까? 모든 대화상자가 영구적으로 삭제됩니다.
REIMPORT_CONFIRM,Are you sure you want to reimport %s? All current dialog nodes will be permanently deleted. The category will create new nodes from the existing JSON files in the directory.,¿Está seguro de que desea volver a importar %s? Todos los nodos de diálogo actuales se eliminarán permanentemente. La categoría creará nuevos nodos a partir de los archivos JSON existentes en el directorio.,"Er du sikker på, at du vil genimportere %s? Alle aktuelle dialogknuder vil blive slettet permanent. Kategorien vil oprette nye noder fra de eksisterende JSON-filer i mappen.",Weet u zeker dat u %s opnieuw wilt importeren? Alle huidige dialoogknooppunten worden permanent verwijderd. De categorie maakt nieuwe knooppunten van de bestaande JSON-bestanden in de map.,Êtes-vous sûr de vouloir réimporter %s ? Tous les nœuds de dialogue actuels seront définitivement supprimés. La catégorie créera de nouveaux nœuds à partir des fichiers JSON existants dans le répertoire.,"Sind Sie sicher, dass Sie %s erneut importieren möchten? Alle aktuellen Dialogknoten werden dauerhaft gelöscht. Die Kategorie erstellt neue Knoten aus den vorhandenen JSON-Dateien im Verzeichnis.",您确定要重新导入 %s 吗？所有当前对话节点将被永久删除。该类别将从目录中现有的 JSON 文件创建新节点。,Är du säker på att du vill återimportera %s? Alla aktuella dialognoder kommer att raderas permanent. Kategorien kommer att skapa nya noder från de befintliga JSON-filerna i katalogen.,"Вы уверены, что хотите повторно импортировать %s? Все текущие узлы диалога будут безвозвратно удалены. Категория создаст новые узлы из существующих файлов JSON в каталоге.",%s を再インポートしてもよろしいですか?現在のダイアログ ノードはすべて完全に削除されます。カテゴリは、ディレクトリ内の既存の JSON ファイルから新しいノードを作成します。,%s을(를) 다시 가져오시겠습니까? 현재의 모든 대화 노드가 영구적으로 삭제됩니다. 범주는 디렉터리의 기존 JSON 파일에서 새 노드를 생성합니다.
POINTS_ABBRV,pts,puntos,pkt,punten,points,Punkte,分,pts,баллы,ポイント,포인트
SELECT_QUEST,Select Quest,Seleccionar misión,Vælg Quest,Selecteer Zoektocht,Sélectionnez une quête,Wählen Sie Quest,选择任务,Välj Quest,Выберите квест,クエストを選択,퀘스트 선택
CANCEL,Cancel,Cancelar,Ophæve,Annuleren,Annuler,Stornieren,取消,Avboka,Отмена,キャンセル,취소
EDS_CNPC+,Enable CustomNPCs+ Options,Habilitar opciones personalizadas de NPC+,Aktiver CustomNPCs+ Options,Schakel aangepaste NPC's+ opties in,Activer les options CustomNPC+,Aktivieren Sie CustomNPCs+-Optionen,启用 CustomNPCs+ 选项,Aktivera CustomNPCs+-alternativ,Включить параметры CustomNPCs+,CustomNPCs+ オプションを有効にする,CustomNPCs+ 옵션 활성화
EDS_CNPC+_TOOLTIP,Enables editing options that are only available in Kamkeel's CustomNPCs+ for 1.7.10,Habilita opciones de edición que solo están disponibles en CustomNPCs+ de Kamkeel para 1.7.10,"Aktiverer redigeringsmuligheder, der kun er tilgængelige i Kamkeels CustomNPCs+ for 1.7.10",Maakt bewerkingsopties mogelijk die alleen beschikbaar zijn in Kamkeel's CustomNPCs+ voor 1.7.10,Active les options d'édition qui ne sont disponibles que dans CustomNPCs+ de Kamkeel pour 1.7.10.,"Aktiviert Bearbeitungsoptionen, die nur in Kamkeels CustomNPCs+ für 1.7.10 verfügbar sind",启用仅在 Kamkeel 的 CustomNPCs+ 1.7.10 中可用的编辑选项,Aktiverar redigeringsalternativ som endast är tillgängliga i Kamkeels CustomNPCs+ för 1.7.10,"Включает параметры редактирования, доступные только в Kamkeel's CustomNPCs+ для 1.7.10.",Kamkeel の CustomNPCs+ for 1.7.10 でのみ利用可能な編集オプションを有効にします,1.7.10용 Kamkeel의 CustomNPCs+에서만 사용할 수 있는 편집 옵션을 활성화합니다.
